density,T_set,T,pressure,pot energy,T_error,P_error,U_error
0.88,1,0.968531596126,3.03490696158,-5.77797528003,0.000701091882911,0.00621528821392,0.00112972076031
density,T_set,T,pressure,pot energy,T_error,P_error,U_error
0.88,0.94,0.941928505693,2.99160258091,-5.80324731006,0.000696998112718,0.00576661239891,0.00114211086989
0.88,0.591,0.592680242171,-3.02225586343,-6.50012397446,0.000444569717594,0.00699933700284,0.000660454790215
0.85,2.889,3.07020827646,4.65615430552,-3.89942624811,0.0018896639757,0.00493112462576,0.00253155649277
0.85,2.202,2.21070559914,4.10377705466,-4.61692025264,0.00137339299101,0.0050725821664,0.00203042339685
0.85,1.214,1.24172729757,3.26444272767,-5.37022048316,0.000971689467578,0.00545359822783,0.0012423723184
0.85,1.128,1.12025607806,2.9738541562,-5.46981972921,0.000828803021491,0.00601247509401,0.0011843587488
0.85,0.88,0.850531739012,1.77587900721,-5.74337189711,0.000587323040198,0.00637017456573,0.000966100685559
0.85,0.786,0.799084657492,0.753410677284,-5.89428490447,0.000586532479054,0.0063226813651,0.000923963699865
0.85,0.76,0.703258655916,0.306708305189,-5.94485308033,0.000501438586985,0.00728803306731,0.00077503761227
0.85,0.719,0.68542010202,0.308874332326,-5.94202258845,0.000542123837594,0.00655545606558,0.000748566093645
0.85,0.658,0.66059987381,-2.48567612716,-6.20676067666,0.000590812117639,0.00732532001484,0.000782437030534
0.85,0.591,0.633537584424,-3.54951483769,-6.26833849636,0.000460407514468,0.00783427278727,0.000692047982439
0.75,2.849,2.75331370237,3.08350132296,-3.92260225373,0.00203057126465,0.00421390749542,0.00215489644933
0.75,1.069,1.04003513612,0.883914699311,-5.01185272142,0.000671741968643,0.00592982619555,0.00100458007811
0.75,0.881,0.838302014732,-0.179722275078,-5.16764141379,0.000689811521689,0.00699340556774,0.000896628554533
0.75,0.827,0.800768622247,-0.227099844382,-5.17097087744,0.000595595396078,0.00702816793987,0.000875642525022
0.65,2.557,2.50900556797,2.1321919533,-3.68025241556,0.00146228745739,0.0047690289887,0.0020356083467
0.65,1.585,1.60051119443,1.46194582375,-4.06468424547,0.000975125024075,0.00550529941105,0.00149061154355
0.65,1.036,1.03836745524,0.111871452424,-4.37120313474,0.000705433030398,0.00689944468258,0.000873118131894
0.65,0.9,0.895300475744,-0.533036298131,-4.46461956429,0.000580776275494,0.00788019392645,0.000874254009941
0.55,2.645,2.56626660577,1.64950823343,-3.14952463513,0.00117552445138,0.00451722498335,0.00191449230143
0.5426,3.26,3.29706084874,1.83260479258,-2.89417763503,0.00184610120652,0.00441227022678,0.00256707088216
0.5426,1.404,1.45306422644,0.721833176616,-3.49228151717,0.000730637868171,0.00517042097066,0.00126157147785
0.5426,1.326,1.30827620468,0.474935700501,-3.56694602302,0.000673047216042,0.00544038790509,0.0011567694228
0.5,1.36,1.33151258059,0.409686284766,-3.29748294226,0.000826382102757,0.00536192574492,0.00118321935796
0.45,4.625,4.83948542857,1.73134006683,-2.12801028457,0.00191521482188,0.00350348154552,0.0028383658012
0.45,2.935,2.94379739187,1.43006356518,-2.52442657846,0.00125697631081,0.00407325440554,0.00199522608119
0.45,1.744,1.83196050845,0.900111709652,-2.81146013273,0.000880738713757,0.00425485504829,0.00137259280248
0.45,1.552,1.5588760115,0.620729442841,-2.89210411461,0.000759291044539,0.0047494871328,0.000944471721569
0.4,1.462,1.50071737779,0.511650549162,-2.60518286767,0.000839612270453,0.00500986169038,0.00117719029022
0.35,1.62,1.68589723732,0.681250814023,-2.23609883734,0.000739471425787,0.00453340399787,0.00110210276299
